Source File	English Term	Bulgarian Term	Justification
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Comprehensive Metabolic Panel	Пълен биохимичен панел	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose	Кръвна захар на гладно	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Thyroid-Stimulating Hormone	Тиреостимулиращ хормон (TSH)	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Electrocardiogram	Електрокардиограма (ЕКГ)	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	LDL Cholesterol	LDL-холестерол	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Primary Aldosteronism	Първичен хипералдостеронизъм	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Waist Circumference	Обиколка на талията	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	History of Present Illness	Анамнеза за настоящото заболяване	Standard Bulgarian medical term for patient history.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Physical Examination and Findings	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Diagnostic Workup	Диагностичен план	Standard Bulgarian medical term for diagnostic procedures.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Discharge Medications	Лекарства при изписване	Standard Bulgarian medical term for prescribed medication after hospitalization.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Follow-up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Patient Education	Медицинско информиране / Пациентско обучение	Standard Bulgarian medical term for patient education.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Summary and Prognosis	Резюме и прогноза	Standard Bulgarian medical term for summary and prognosis.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Blood Pressure	Кръвно налягане	Standard Bulgarian medical term for blood pressure.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Type 2 Diabetes Mellitus	Захарен диабет тип 2	Standard Bulgarian medical term for type 2 diabetes.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Target Organ Damage	Увреждане на таргетни органи	Standard Bulgarian medical term for organ damage related to hypertension.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Home Blood Pressure Monitoring	Домашно измерване на кръвно налягане	Standard Bulgarian medical term for home blood pressure monitoring.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Lifestyle Modifications	Промени в начина на живот	Standard Bulgarian medical term for lifestyle changes.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Antihypertensive Medications	Антихипертензивни лекарства	Standard Bulgarian medical term for drugs used to treat hypertension.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Smoking Cessation	Отказ от тютюнопушене	Standard Bulgarian medical term for smoking cessation.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	BMI	Индекс на телесна маса (ИТМ)	Standard Bulgarian medical term for Body Mass Index.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Waist Circumference	Обиколка на талията	Standard Bulgarian medical term for waist circumference.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Lipid Panel	Липиден профил	Standard Bulgarian medical term for lipid test.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	LDL cholesterol	LDL холестерол	Standard Bulgarian medical term for bad cholesterol.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose	Кръвна захар на гладно	Standard Bulgarian medical term for fasting blood glucose.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	ECG	ЕКГ	Standard Bulgarian abbreviation for electrocardiogram.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	TSH	TSH	Standard Bulgarian abbreviation for Thyroid-Stimulating Hormone.
cardiovascular_arterial hypertension_11_BGgpt_terms_EN_BG.txt	NSAIDs	НСПВС	Standard Bulgarian abbreviation for Non-Steroidal Anti-Inflammatory Drugs.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Arterial Hypertension	Артериална хипертония	Standard and commonly used term in Bulgarian medical practice.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Myocardial Infarction	Миокарден инфаркт	Standard Bulgarian medical term for heart attack.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Target Organ Damage	Увреждане на таргетни органи	Standard Bulgarian medical term for organ damage associated with hypertension.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Left Ventricular Hypertrophy	Лява вентрикуларна хипертрофия	Standard Bulgarian medical term for enlarged left ventricle.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	ACE Inhibitor	АСЕ-инхибитор	Standard Bulgarian abbreviation and term for this class of medication.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Diuretic	Диуретик	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Thiazide diuretic	Тиазиден диуретик	Standard Bulgarian medical term for this class of medication.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Glycemic Control	Гликемичен контрол	Standard Bulgarian medical term for blood sugar management.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Follow-Up Visit	Контролен преглед	Standard Bulgarian medical term for a return visit.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations
cardiovascular_arterial hypertension_12_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Arterial hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Follow-Up Care	Проследяване и препоръки	Standard Bulgarian medical term for patient follow-up and recommendations
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Blood Pressure	Кръвно налягане	Standard Bulgarian medical term for blood pressure (abbreviated as АН)
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	ACE inhibitor	АСЕ-инхибитор	Standard Bulgarian abbreviation for angiotensin-converting enzyme inhibitor
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Thiazide diuretic	Тиазиден диуретик	Standard Bulgarian medical term for thiazide diuretic
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Ambulatory BP monitoring	Амбулаторно мониториране на кръвното налягане	Standard Bulgarian medical term
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	White coat hypertension	"Хипертония на ""бялата престилка"""	Standard Bulgarian medical term for white coat hypertension
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Comprehensive metabolic panel	Пълен метаболитен панел	Standard Bulgarian medical term for comprehensive metabolic panel
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Complete lipid panel	Пълен липиден панел	Standard Bulgarian medical term for complete lipid panel
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Electrocardiogram	Електрокардиограма	Standard Bulgarian medical term for electrocardiogram (abbreviated as ЕКГ)
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Thyroid-stimulating hormone	Тиреостимулиращ хормон	Standard Bulgarian medical term for thyroid-stimulating hormone (abbreviated as TSH)
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Sodium intake	Прием на натрий	Standard Bulgarian medical term
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Lifestyle modifications	Промени в начина на живот	Standard Bulgarian medical term for lifestyle modifications
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Tobacco use	Тютюнопушене	Standard Bulgarian medical term for tobacco use
cardiovascular_arterial hypertension_13_BGgpt_terms_EN_BG.txt	Medication adherence	Придържане към терапията	Standard Bulgarian medical term for medication adherence
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	History of Present Illness	Анамнеза за настоящото заболяване	Standard Bulgarian medical term for patient's current medical history.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Treatment	Лечение	Standard Bulgarian medical term for therapy.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Outcome	Резултат	Standard Bulgarian medical term for the end result of treatment.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Blood Pressure (BP)	Артериално кръвно налягане (АН)	Standard Bulgarian medical term for blood pressure.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Waist Circumference	Обиколка на талията	Standard Bulgarian medical term for waist measurement.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Target Organ Damage	Увреждане на таргетни органи	Standard Bulgarian medical term for organ damage due to hypertension.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Primary Aldosteronism	Първичен алдостеронизъм	Standard Bulgarian medical term for the condition.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Plasma Aldosterone Levels	Плазмени нива на алдостерон	Standard Bulgarian medical term for the lab test.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Plasma Renin Activity	Плазмена ренинова активност	Standard Bulgarian medical term for the lab test.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	ACE Inhibitor	АСЕ инхибитор	Standard Bulgarian medical term for the drug class.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Thiazide Diuretic	Тиазиден диуретик	Standard Bulgarian medical term for the drug class.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Lifestyle Modifications	Промяна в начина на живот	Standard Bulgarian medical term for lifestyle changes.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Smoking Cessation	Отказ от тютюнопушене	Standard Bulgarian medical term for quitting smoking.
cardiovascular_arterial hypertension_14_BGgpt_terms_EN_BG.txt	Attending Physician	Лекуващ лекар	Standard Bulgarian medical term for the doctor in charge of the patient.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Myocardial Infarction	Миокарден инфаркт	Standard Bulgarian medical term for heart attack.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	BMI	Индекс на телесна маса (ИТМ)	Standard Bulgarian medical term for Body Mass Index.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Waist Circumference	Обиколка на талията	Standard Bulgarian medical term for waist measurement.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	LDL cholesterol	LDL-холестерол	Standard Bulgarian medical term for Low-Density Lipoprotein cholesterol.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	ECG	ЕКГ	Standard Bulgarian abbreviation for Electrocardiogram.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	ACE inhibitor	АСЕ-инхибитор	Standard Bulgarian abbreviation for Angiotensin-Converting Enzyme inhibitor.
cardiovascular_arterial hypertension_15_BGgpt_terms_EN_BG.txt	Hypertension crisis	Хипертонична криза	Standard Bulgarian medical term for hypertensive crisis.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Medical History	Медицинска анамнеза	Standard Bulgarian medical term for patient's past medical information.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Diagnostic Testing	Диагностични изследвания	Standard Bulgarian medical term for tests conducted.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Blood Pressure	Артериално кръвно налягане	Standard Bulgarian medical term for blood pressure.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Type 2 Diabetes Mellitus	Захарен диабет тип 2	Standard Bulgarian medical term for the condition.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	ACE Inhibitor	АСЕ-инхибитор	Standard Bulgarian abbreviation for the drug class.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	LDL	Липопротеини с ниска плътност (LDL)	Standard Bulgarian expansion for LDL cholesterol.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	HDL	Липопротеини с висока плътност (HDL)	Standard Bulgarian expansion for HDL cholesterol.
cardiovascular_arterial hypertension_16_BGgpt_terms_EN_BG.txt	ECG	Електрокардиограма (ЕКГ)	Standard Bulgarian abbreviation for electrocardiogram.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Myocardial Infarction	Миокарден инфаркт	Standard Bulgarian medical term for heart attack.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Type 2 Diabetes Mellitus	Захарен диабет тип 2	Standard Bulgarian medical term for Type 2 Diabetes.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Blood Pressure (BP)	Кръвно налягане (КН)	Standard Bulgarian medical abbreviation for blood pressure is КН.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Body Mass Index (BMI)	Индекс на телесна маса (ИТМ)	Standard Bulgarian medical abbreviation for BMI is ИТМ.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Diastolic Blood Pressure	Диастолно кръвно налягане	Standard Bulgarian medical term for diastolic blood pressure.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Systolic Blood Pressure	Систолно кръвно налягане	Standard Bulgarian medical term for systolic blood pressure.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Electrocardiogram (ECG)	Електрокардиограма (ЕКГ)	Standard Bulgarian medical abbreviation for ECG is ЕКГ.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Target Organ Damage	Увреждане на таргетните органи	Standard Bulgarian medical term for target organ damage.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Comprehensive Metabolic Panel	Пълна метаболитна панел	Standard Bulgarian medical term for comprehensive metabolic panel.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_17_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Myocardial Infarction	Миокарден инфаркт	Standard Bulgarian medical term for heart attack.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Body Mass Index	Индекс на телесна маса (ИТМ)	Standard Bulgarian medical abbreviation and term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Electrocardiogram	Електрокардиограма (ЕКГ)	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Comprehensive Metabolic Panel	Разширен биохимичен анализ	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Thyroid-Stimulating Hormone	Тиреостимулиращ хормон (TSH)	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Target Organ Damage	Увреждане на таргетни органи	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Left Ventricular Hypertrophy	Хипертрофия на лявата камера	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Ischemia	Исхемия	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Sodium Intake	Прием на натрий	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Pharmacotherapy	Фармакотерапия	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_18_BGgpt_terms_EN_BG.txt	Pharmacological Treatment	Фармакологично лечение	Standard Bulgarian medical term.
