filename	entity_label	entity_kind	start_span	end_span	text
cardiovascular_arterial hypertension_12.txt	disease	concept	1476	1484	diabetes
cardiovascular_arterial hypertension_12.txt	procedure	concept	1675	1684	diet plan
cardiovascular_arterial hypertension_12.txt	symptom	concept	1825	1836	weight loss
cardiovascular_arterial hypertension_12.txt	medication	concept	1883	1893	Lisinopril
cardiovascular_arterial hypertension_12.txt	medication	concept	1898	1911	ACE inhibitor
cardiovascular_arterial hypertension_12.txt	medication	concept	2108	2127	Hydrochlorothiazide
cardiovascular_arterial hypertension_12.txt	symptom	concept	2214	2228	blood pressure
cardiovascular_arterial hypertension_12.txt	symptom	concept	2288	2302	blood pressure
cardiovascular_arterial hypertension_12.txt	symptom	concept	2854	2868	blood pressure
cardiovascular_arterial hypertension_12.txt	disease	concept	2955	2967	hypertension
cardiovascular_arterial hypertension_12.txt	symptom	concept	3137	3151	blood pressure
cardiovascular_arterial hypertension_12.txt	symptom	concept	3247	3261	blood pressure
cardiovascular_arterial hypertension_12.txt	symptom	concept	3279	3291	side effects
cardiovascular_arterial hypertension_12.txt	disease	concept	3398	3406	diabetes
cardiovascular_arterial hypertension_12.txt	medication	concept	3485	3495	Lisinopril
cardiovascular_arterial hypertension_12.txt	medication	concept	3525	3544	Hydrochlorothiazide
cardiovascular_arterial hypertension_12.txt	medication	concept	3576	3585	Metformin
cardiovascular_arterial hypertension_12.txt	disease	concept	3618	3626	diabetes
cardiovascular_arterial hypertension_12.txt	medication	concept	3632	3644	Atorvastatin
cardiovascular_arterial hypertension_12.txt	disease	concept	3675	3689	hyperlipidemia
cardiovascular_arterial hypertension_12.txt	symptom	concept	3696	3705	Allergies
cardiovascular_arterial hypertension_12.txt	symptom	concept	4088	4104	severe headaches
cardiovascular_arterial hypertension_12.txt	symptom	concept	4106	4120	vision changes
cardiovascular_arterial hypertension_12.txt	symptom	concept	4122	4132	chest pain
cardiovascular_arterial hypertension_12.txt	symptom	concept	4137	4157	difficulty breathing
cardiovascular_arterial hypertension_13.txt	disease	concept	265	286	Arterial hypertension
cardiovascular_arterial hypertension_13.txt	symptom	concept	518	527	headaches
cardiovascular_arterial hypertension_13.txt	disease	concept	876	899	white coat hypertension
cardiovascular_arterial hypertension_13.txt	disease	concept	976	997	arterial hypertension
cardiovascular_arterial hypertension_13.txt	procedure	concept	1257	1267	urinalysis
cardiovascular_arterial hypertension_13.txt	medication	concept	1324	1346	fasting plasma glucose
cardiovascular_arterial hypertension_13.txt	procedure	concept	1355	1358	ECG
cardiovascular_arterial hypertension_13.txt	medication	concept	1634	1644	Lisinopril
cardiovascular_arterial hypertension_13.txt	medication	concept	1649	1662	ACE inhibitor
cardiovascular_arterial hypertension_13.txt	medication	concept	2256	2275	Hydrochlorothiazide
cardiovascular_arterial hypertension_13.txt	disease	concept	2319	2331	hypertension
cardiovascular_arterial hypertension_13.txt	procedure	concept	2607	2627	outpatient follow-up
cardiovascular_arterial hypertension_13.txt	medication	concept	2753	2763	Lisinopril
cardiovascular_arterial hypertension_13.txt	medication	concept	2792	2811	Hydrochlorothiazide
cardiovascular_arterial hypertension_13.txt	disease	concept	3274	3286	hypertension
cardiovascular_arterial hypertension_13.txt	disease	concept	3710	3731	arterial hypertension
cardiovascular_arterial hypertension_13.txt	disease	concept	3998	4010	hypertension
cardiovascular_arterial hypertension_13.txt	disease	concept	4026	4049	secondary complications
cardiovascular_arterial hypertension_14.txt	disease	concept	303	324	Arterial Hypertension
cardiovascular_arterial hypertension_14.txt	symptom	concept	485	494	headaches
cardiovascular_arterial hypertension_14.txt	disease	concept	603	625	cardiovascular disease
cardiovascular_arterial hypertension_14.txt	disease	concept	637	658	arterial hypertension
cardiovascular_arterial hypertension_14.txt	symptom	concept	1239	1246	obesity
cardiovascular_arterial hypertension_14.txt	procedure	concept	1332	1342	urinalysis
cardiovascular_arterial hypertension_14.txt	disease	concept	1477	1498	arterial hypertension
cardiovascular_arterial hypertension_14.txt	medication	concept	1755	1765	Lisinopril
cardiovascular_arterial hypertension_14.txt	medication	concept	1770	1783	ACE inhibitor
cardiovascular_arterial hypertension_14.txt	medication	concept	1818	1835	thiazide diuretic
cardiovascular_arterial hypertension_14.txt	medication	concept	1837	1856	Hydrochlorothiazide
cardiovascular_arterial hypertension_14.txt	medication	concept	2560	2570	Lisinopril
cardiovascular_arterial hypertension_14.txt	medication	concept	2592	2611	Hydrochlorothiazide
cardiovascular_arterial hypertension_14.txt	symptom	concept	3141	3155	blood pressure
cardiovascular_arterial hypertension_14.txt	symptom	concept	3266	3280	vision changes
cardiovascular_arterial hypertension_14.txt	symptom	concept	3310	3324	blood pressure
cardiovascular_arterial hypertension_15.txt	disease	concept	517	524	obesity
cardiovascular_arterial hypertension_15.txt	disease	concept	529	553	type 2 diabetes mellitus
cardiovascular_arterial hypertension_15.txt	symptom	concept	641	650	headaches
cardiovascular_arterial hypertension_15.txt	symptom	concept	666	675	dizziness
cardiovascular_arterial hypertension_15.txt	symptom	concept	782	789	fatigue
cardiovascular_arterial hypertension_15.txt	disease	concept	854	876	cardiovascular disease
cardiovascular_arterial hypertension_15.txt	disease	concept	881	893	hypertension
cardiovascular_arterial hypertension_15.txt	disease	concept	1322	1337	type 2 diabetes
cardiovascular_arterial hypertension_15.txt	symptom	concept	1452	1460	ischemia
cardiovascular_arterial hypertension_15.txt	disease	concept	1573	1594	arterial hypertension
cardiovascular_arterial hypertension_15.txt	disease	concept	1787	1795	diabetes
cardiovascular_arterial hypertension_15.txt	disease	concept	1800	1807	obesity
cardiovascular_arterial hypertension_15.txt	medication	concept	1958	1968	Lisinopril
cardiovascular_arterial hypertension_15.txt	medication	concept	2114	2124	Amlodipine
cardiovascular_arterial hypertension_15.txt	symptom	concept	2468	2479	weight loss
cardiovascular_arterial hypertension_15.txt	medication	concept	3317	3327	Lisinopril
cardiovascular_arterial hypertension_15.txt	medication	concept	3354	3364	Amlodipine
cardiovascular_arterial hypertension_15.txt	symptom	concept	3545	3559	blood pressure
cardiovascular_arterial hypertension_15.txt	symptom	concept	3751	3761	chest pain
cardiovascular_arterial hypertension_15.txt	disease	concept	3820	3839	hypertensive crisis
cardiovascular_arterial hypertension_16.txt	disease	concept	368	392	type 2 diabetes mellitus
cardiovascular_arterial hypertension_16.txt	medication	concept	439	448	Metformin
cardiovascular_arterial hypertension_16.txt	disease	concept	507	530	cardiovascular diseases
cardiovascular_arterial hypertension_16.txt	procedure	concept	846	866	physical examination
cardiovascular_arterial hypertension_16.txt	disease	concept	943	964	arterial hypertension
cardiovascular_arterial hypertension_16.txt	disease	concept	1424	1445	arterial hypertension
cardiovascular_arterial hypertension_16.txt	disease	concept	1476	1491	type 2 diabetes
cardiovascular_arterial hypertension_16.txt	medication	concept	1736	1746	Lisinopril
cardiovascular_arterial hypertension_16.txt	medication	concept	1751	1764	ACE inhibitor
cardiovascular_arterial hypertension_16.txt	medication	concept	1886	1896	Amlodipine
cardiovascular_arterial hypertension_16.txt	medication	concept	2002	2012	Lisinopril
cardiovascular_arterial hypertension_16.txt	medication	concept	2582	2592	Lisinopril
cardiovascular_arterial hypertension_16.txt	medication	concept	2614	2624	Amlodipine
cardiovascular_arterial hypertension_16.txt	medication	concept	2682	2705	over-the-counter NSAIDs
cardiovascular_arterial hypertension_16.txt	symptom	concept	2764	2778	blood pressure
cardiovascular_arterial hypertension_16.txt	symptom	concept	2877	2891	blood pressure
cardiovascular_arterial hypertension_16.txt	symptom	concept	3081	3095	blood pressure
cardiovascular_arterial hypertension_16.txt	symptom	concept	3199	3209	chest pain
cardiovascular_arterial hypertension_16.txt	symptom	concept	3211	3230	shortness of breath
cardiovascular_arterial hypertension_16.txt	symptom	concept	3232	3251	excessive dizziness
cardiovascular_arterial hypertension_16.txt	symptom	concept	3256	3265	headaches
cardiovascular_arterial hypertension_16.txt	disease	concept	3373	3394	arterial hypertension
cardiovascular_arterial hypertension_16.txt	medication	concept	3464	3474	medication
cardiovascular_arterial hypertension_17.txt	symptom	concept	369	378	headaches
cardiovascular_arterial hypertension_17.txt	symptom	concept	395	404	dizziness
cardiovascular_arterial hypertension_17.txt	disease	concept	500	524	Type 2 Diabetes Mellitus
cardiovascular_arterial hypertension_17.txt	procedure	concept	859	879	physical examination
cardiovascular_arterial hypertension_17.txt	disease	concept	941	962	arterial hypertension
cardiovascular_arterial hypertension_17.txt	procedure	concept	1327	1337	urinalysis
cardiovascular_arterial hypertension_17.txt	disease	concept	1611	1622	hypokalemia
cardiovascular_arterial hypertension_17.txt	symptom	concept	1713	1726	aldosteronism
cardiovascular_arterial hypertension_17.txt	medication	concept	1775	1785	Lisinopril
cardiovascular_arterial hypertension_17.txt	medication	concept	1829	1839	Amlodipine
cardiovascular_arterial hypertension_17.txt	medication	concept	1843	1882	dihydropyridine calcium channel blocker
cardiovascular_arterial hypertension_17.txt	disease	concept	1917	1929	hypertension
cardiovascular_arterial hypertension_17.txt	symptom	concept	2150	2161	weight loss
cardiovascular_arterial hypertension_17.txt	symptom	concept	2308	2322	blood pressure
cardiovascular_arterial hypertension_17.txt	medication	concept	2391	2401	Lisinopril
cardiovascular_arterial hypertension_17.txt	medication	concept	2423	2433	Amlodipine
cardiovascular_arterial hypertension_17.txt	procedure	concept	2773	2800	moderate-intensity exercise
cardiovascular_arterial hypertension_17.txt	procedure	concept	3012	3037	Blood Pressure Monitoring
cardiovascular_arterial hypertension_17.txt	disease	concept	3060	3062	BP
cardiovascular_arterial hypertension_17.txt	symptom	concept	3256	3266	chest pain
cardiovascular_arterial hypertension_17.txt	symptom	concept	3268	3287	shortness of breath
cardiovascular_arterial hypertension_17.txt	symptom	concept	3289	3308	excessive dizziness
cardiovascular_arterial hypertension_17.txt	symptom	concept	3313	3322	headaches
cardiovascular_arterial hypertension_17.txt	disease	concept	3532	3553	arterial hypertension
cardiovascular_arterial hypertension_17.txt	procedure	concept	3576	3585	follow-up
cardiovascular_arterial hypertension_18.txt	symptom	concept	362	371	headaches
cardiovascular_arterial hypertension_18.txt	symptom	concept	388	397	dizziness
cardiovascular_arterial hypertension_18.txt	disease	concept	455	467	hypertension
cardiovascular_arterial hypertension_18.txt	disease	concept	597	620	coronary artery disease
cardiovascular_arterial hypertension_18.txt	disease	concept	640	657	diabetes mellitus
cardiovascular_arterial hypertension_18.txt	disease	concept	661	683	chronic kidney disease
cardiovascular_arterial hypertension_18.txt	medication	concept	727	738	Medications
cardiovascular_arterial hypertension_18.txt	procedure	concept	1078	1088	Urinalysis
cardiovascular_arterial hypertension_18.txt	medication	concept	1970	1980	Lisinopril
cardiovascular_arterial hypertension_18.txt	medication	concept	2009	2028	Hydrochlorothiazide
cardiovascular_arterial hypertension_18.txt	medication	concept	2980	2990	Lisinopril
cardiovascular_arterial hypertension_18.txt	medication	concept	3021	3040	Hydrochlorothiazide
cardiovascular_arterial hypertension_18.txt	disease	concept	3126	3147	arterial hypertension
cardiovascular_arterial hypertension_18.txt	symptom	concept	3248	3262	blood pressure
cardiovascular_arterial hypertension_18.txt	disease	concept	3511	3523	hypertension
cardiovascular_arterial hypertension_18.txt	symptom	concept	3927	3939	side effects
cardiovascular_arterial hypertension_18.txt	medication	concept	3945	3956	medications
cardiovascular_arterial hypertension_19.txt	symptom	concept	325	334	headaches
cardiovascular_arterial hypertension_19.txt	symptom	concept	351	360	dizziness
cardiovascular_arterial hypertension_19.txt	symptom	concept	480	489	dizziness
cardiovascular_arterial hypertension_19.txt	disease	concept	732	744	Hypertension
cardiovascular_arterial hypertension_19.txt	disease	concept	767	791	Type 2 Diabetes Mellitus
cardiovascular_arterial hypertension_19.txt	medication	concept	809	818	Metformin
cardiovascular_arterial hypertension_19.txt	disease	concept	835	849	Hyperlipidemia
cardiovascular_arterial hypertension_19.txt	medication	concept	867	879	Atorvastatin
cardiovascular_arterial hypertension_19.txt	medication	concept	925	934	Metformin
cardiovascular_arterial hypertension_19.txt	medication	concept	950	962	Atorvastatin
cardiovascular_arterial hypertension_19.txt	procedure	concept	1375	1385	urinalysis
cardiovascular_arterial hypertension_19.txt	disease	concept	1569	1590	arterial hypertension
cardiovascular_arterial hypertension_19.txt	medication	concept	1616	1626	Lisinopril
cardiovascular_arterial hypertension_19.txt	disease	concept	1948	1971	white coat hypertension
cardiovascular_arterial hypertension_19.txt	medication	concept	2081	2091	Lisinopril
cardiovascular_arterial hypertension_19.txt	disease	concept	2107	2119	hypertension
cardiovascular_arterial hypertension_19.txt	medication	concept	2125	2134	Metformin
cardiovascular_arterial hypertension_19.txt	disease	concept	2152	2176	Type 2 Diabetes Mellitus
cardiovascular_arterial hypertension_19.txt	medication	concept	2182	2194	Atorvastatin
cardiovascular_arterial hypertension_19.txt	disease	concept	2210	2224	hyperlipidemia
cardiovascular_arterial hypertension_19.txt	disease	concept	3540	3552	hypertension
cardiovascular_arterial hypertension_19.txt	disease	concept	3855	3867	hypertension
cardiovascular_arterial hypertension_19.txt	symptom	concept	3987	4004	adverse reactions
cardiovascular_arterial hypertension_19.txt	disease	concept	4188	4200	hypertension
cardiovascular_arterial hypertension_19.txt	procedure	concept	4340	4358	medication therapy
cardiovascular_arterial hypertension_19.txt	procedure	concept	4360	4383	lifestyle modifications
cardiovascular_arterial hypertension_19.txt	procedure	concept	4389	4403	follow-up care
cardiovascular_arterial hypertension_19.txt	disease	concept	4439	4451	hypertension
cardiovascular_arterial hypertension_2.txt	disease	concept	285	306	Arterial Hypertension
cardiovascular_arterial hypertension_2.txt	symptom	concept	547	556	dizziness
cardiovascular_arterial hypertension_2.txt	disease	concept	725	748	cardiovascular diseases
cardiovascular_arterial hypertension_2.txt	procedure	concept	1104	1114	urinalysis
cardiovascular_arterial hypertension_2.txt	disease	concept	1325	1348	white coat hypertension
cardiovascular_arterial hypertension_2.txt	disease	concept	1465	1486	arterial hypertension
cardiovascular_arterial hypertension_2.txt	procedure	concept	1557	1573	sphygmomanometry
cardiovascular_arterial hypertension_2.txt	medication	concept	2157	2170	ACE inhibitor
cardiovascular_arterial hypertension_2.txt	medication	concept	2172	2182	Lisinopril
cardiovascular_arterial hypertension_2.txt	medication	concept	2207	2224	thiazide diuretic
cardiovascular_arterial hypertension_2.txt	medication	concept	2226	2245	Hydrochlorothiazide
cardiovascular_arterial hypertension_2.txt	disease	concept	2344	2365	arterial hypertension
cardiovascular_arterial hypertension_2.txt	symptom	concept	2683	2695	side effects
cardiovascular_arterial hypertension_2.txt	medication	concept	2765	2775	Lisinopril
cardiovascular_arterial hypertension_2.txt	medication	concept	2797	2806	Hydrochlo
cardiovascular_arterial hypertension_2.txt	medication	concept	2807	2816	othiazide
cardiovascular_arterial hypertension_2.txt	symptom	concept	3104	3115	weight loss
cardiovascular_arterial hypertension_2.txt	procedure	concept	3158	3183	Blood Pressure Monitoring
cardiovascular_arterial hypertension_2.txt	procedure	concept	3619	3647	pharmacological intervention
cardiovascular_arterial hypertension_2.txt	disease	concept	3789	3801	hypertension
cardiovascular_arterial hypertension_2.txt	disease	concept	4296	4329	ypertension-related complications
cardiovascular_arterial hypertension_20.txt	disease	concept	210	231	Arterial Hypertension
cardiovascular_arterial hypertension_20.txt	symptom	concept	364	373	headaches
cardiovascular_arterial hypertension_20.txt	symptom	concept	387	396	dizziness
cardiovascular_arterial hypertension_20.txt	procedure	concept	1129	1139	urinalysis
cardiovascular_arterial hypertension_20.txt	medication	concept	1189	1211	fasting plasma glucose
cardiovascular_arterial hypertension_20.txt	disease	concept	1368	1379	hypokalemia
cardiovascular_arterial hypertension_20.txt	symptom	concept	1577	1588	weight loss
cardiovascular_arterial hypertension_20.txt	medication	concept	1667	1677	Lisinopril
cardiovascular_arterial hypertension_20.txt	medication	concept	1743	1756	ACE inhibitor
cardiovascular_arterial hypertension_20.txt	symptom	concept	1896	1910	blood pressure
cardiovascular_arterial hypertension_20.txt	medication	concept	2015	2032	thiazide diuretic
cardiovascular_arterial hypertension_20.txt	medication	concept	2034	2053	Hydrochlorothiazide
cardiovascular_arterial hypertension_20.txt	medication	concept	2518	2528	Lisinopril
cardiovascular_arterial hypertension_20.txt	medication	concept	2558	2577	Hydrochlorothiazide
cardiovascular_arterial hypertension_20.txt	medication	concept	2988	2999	medications
cardiovascular_arterial hypertension_20.txt	disease	concept	3377	3398	arterial hypertension
cardiovascular_arterial hypertension_20.txt	procedure	concept	3683	3705	follow-up appointments
cardiovascular_arterial hypertension_21.txt	disease	concept	335	356	Arterial Hypertension
cardiovascular_arterial hypertension_21.txt	symptom	concept	514	522	headache
cardiovascular_arterial hypertension_21.txt	symptom	concept	539	548	dizziness
cardiovascular_arterial hypertension_21.txt	disease	concept	752	764	hypertension
cardiovascular_arterial hypertension_21.txt	disease	concept	905	928	cardiovascular diseases
cardiovascular_arterial hypertension_21.txt	procedure	concept	1131	1141	urinalysis
cardiovascular_arterial hypertension_21.txt	procedure	concept	1143	1154	lipid panel
cardiovascular_arterial hypertension_21.txt	procedure	concept	1156	1171	metabolic panel
cardiovascular_arterial hypertension_21.txt	disease	concept	1593	1614	arterial hypertension
cardiovascular_arterial hypertension_21.txt	medication	concept	1645	1655	Lisinopril
cardiovascular_arterial hypertension_21.txt	medication	concept	1754	1768	ACE inhibitors
cardiovascular_arterial hypertension_21.txt	symptom	concept	2267	2284	adverse reactions
cardiovascular_arterial hypertension_21.txt	medication	concept	2655	2665	Lisinopril
cardiovascular_arterial hypertension_21.txt	medication	concept	2836	2875	dihydropyridine calcium channel blocker
cardiovascular_arterial hypertension_21.txt	medication	concept	3064	3074	medication
cardiovascular_arterial hypertension_21.txt	symptom	concept	3177	3188	weight loss
cardiovascular_arterial hypertension_21.txt	disease	concept	3580	3592	hypertension
cardiovascular_arterial hypertension_21.txt	symptom	concept	3713	3726	complications
cardiovascular_arterial hypertension_21.txt	procedure	concept	3900	3909	follow-up
cardiovascular_arterial hypertension_21.txt	disease	concept	4015	4027	hypertension
cardiovascular_arterial hypertension_22.txt	symptom	concept	338	347	headaches
cardiovascular_arterial hypertension_22.txt	symptom	concept	361	370	dizziness
cardiovascular_arterial hypertension_22.txt	symptom	concept	387	401	blood pressure
cardiovascular_arterial hypertension_22.txt	symptom	concept	489	501	hypertension
cardiovascular_arterial hypertension_22.txt	disease	concept	1004	1027	white coat hypertension
cardiovascular_arterial hypertension_22.txt	disease	concept	1102	1123	arterial hypertension
cardiovascular_arterial hypertension_22.txt	procedure	concept	1335	1345	urinalysis
cardiovascular_arterial hypertension_22.txt	procedure	concept	1414	1431	electrocardiogram
cardiovascular_arterial hypertension_22.txt	disease	concept	1541	1552	hypokalemia
cardiovascular_arterial hypertension_22.txt	medication	concept	1793	1803	Lisinopril
cardiovascular_arterial hypertension_22.txt	medication	concept	1952	1962	Amlodipine
cardiovascular_arterial hypertension_22.txt	medication	concept	2107	2117	Lisinopril
cardiovascular_arterial hypertension_22.txt	disease	concept	2243	2255	hypertension
cardiovascular_arterial hypertension_22.txt	procedure	concept	2462	2478	exercise regimen
cardiovascular_arterial hypertension_22.txt	disease	concept	3450	3462	hypertension
cardiovascular_arterial hypertension_22.txt	medication	concept	3514	3524	Lisinopril
cardiovascular_arterial hypertension_22.txt	medication	concept	3535	3545	Amlodipine
cardiovascular_arterial hypertension_22.txt	medication	concept	3818	3855	non-steroidal anti-inflammatory drugs
cardiovascular_arterial hypertension_22.txt	medication	concept	3857	3863	NSAIDs
cardiovascular_arterial hypertension_22.txt	symptom	concept	3883	3897	blood pressure
cardiovascular_arterial hypertension_22.txt	disease	concept	4086	4098	hypertension
cardiovascular_arterial hypertension_22.txt	disease	concept	4128	4140	hypertension
cardiovascular_arterial hypertension_22.txt	medication	concept	4227	4237	Lisinopril
cardiovascular_arterial hypertension_22.txt	medication	concept	4242	4252	Amlodipine
cardiovascular_arterial hypertension_22.txt	procedure	concept	4527	4544	treatment regimen
cardiovascular_arterial hypertension_23.txt	disease	concept	275	296	Arterial Hypertension
cardiovascular_arterial hypertension_23.txt	disease	concept	318	342	Type 2 Diabetes Mellitus
cardiovascular_arterial hypertension_23.txt	symptom	concept	492	501	headaches
cardiovascular_arterial hypertension_23.txt	disease	concept	968	992	Type 2 Diabetes Mellitus
cardiovascular_arterial hypertension_23.txt	medication	concept	1053	1062	metformin
cardiovascular_arterial hypertension_23.txt	procedure	concept	1155	1165	Urinalysis
cardiovascular_arterial hypertension_23.txt	disease	concept	1373	1399	hypertensive heart disease
cardiovascular_arterial hypertension_23.txt	disease	concept	1515	1526	hypokalemia
cardiovascular_arterial hypertension_23.txt	medication	concept	1706	1716	Amlodipine
